变量,均值,SD,N,缺失,频数,比例
=== 丈夫 ===,,,,,,
年龄,59.47,8.83,5779,0,,
教育水平,1.19,0.45,5779,0,,
农村户口,,,5779,0,4404.0,76.2%
高血压,,,5749,30,1390.0,24.2%
糖尿病,,,5726,53,329.0,5.7%
心脏病,,,5742,37,596.0,10.4%
脑卒中,,,5757,22,154.0,2.7%
慢性肺病,,,5747,32,645.0,11.2%
关节炎,,,5761,18,1620.0,28.1%
癌症,,,5747,32,41.0,0.7%
身体疾病计数,0.83,0.94,5775,4,,
CESD-10得分,7.02,5.65,5442,337,,
抑郁(CESD≥10),,,5442,337,1522.0,28.0%
TICS认知得分,7.38,3.21,4889,890,,
认知障碍,,,4889,890,1931.0,39.5%
ADL障碍数,0.14,0.58,5719,60,,
自评健康(1好-5差),3.77,0.92,4859,920,,
共病维度数(0-3),0.87,0.86,4889,890,,
=== 妻子 ===,,,,,,
年龄,57.31,8.31,5779,0,,
教育水平,1.09,0.32,5779,0,,
农村户口,,,5779,0,4699.0,81.3%
高血压,,,5730,49,1537.0,26.8%
糖尿病,,,5713,66,390.0,6.8%
心脏病,,,5731,48,792.0,13.8%
脑卒中,,,5752,27,134.0,2.3%
慢性肺病,,,5744,35,413.0,7.2%
关节炎,,,5748,31,2118.0,36.8%
癌症,,,5740,39,63.0,1.1%
身体疾病计数,0.95,1.00,5764,15,,
CESD-10得分,9.07,6.50,5533,246,,
抑郁(CESD≥10),,,5533,246,2298.0,41.5%
TICS认知得分,7.27,3.47,4850,929,,
认知障碍,,,4850,929,2105.0,43.4%
ADL障碍数,0.19,0.65,5694,85,,
自评健康(1好-5差),3.98,0.89,3441,2338,,
共病维度数(0-3),1.08,0.91,4850,929,,
