变量,K,BIC,AIC,AvgPP,Entropy
丈夫身体,2,-11085,-11268,1.000,0.000
丈夫身体,3,-32236,-32512,1.000,0.001
丈夫身体,4,-52582,-52953,1.000,0.000
丈夫身体,5,-62714,-63179,0.999,0.003
丈夫身体,6,-71221,-71781,1.000,0.000
妻子身体,2,-10430,-10612,1.000,0.000
妻子身体,3,-28944,-29221,1.000,0.001
妻子身体,4,-44829,-45200,1.000,0.001
妻子身体,5,-54637,-55102,0.999,0.005
妻子身体,6,-64878,-65438,1.000,0.001
丈夫多维,2,9656,9485,1.000,0.001
丈夫多维,3,-2640,-2900,1.000,0.000
丈夫多维,4,-11292,-11640,0.918,0.134
丈夫多维,5,-17496,-17933,1.000,0.001
妻子多维,2,23595,23426,0.884,0.259
妻子多维,3,1669,1412,1.000,0.000
妻子多维,4,-6567,-6912,1.000,-0.000
妻子多维,5,-13299,-13731,1.000,0.000
