因变量,自变量,效应类型,β,SE,95%CI,P,显著性
丈夫身体共病(t+1),h_phys_t,自回归(Actor),0.9467,0.0053,"(0.9362, 0.9571)",<0.0001,***
丈夫身体共病(t+1),w_phys_t,交叉效应(Partner),0.0222,0.0050,"(0.0123, 0.0320)",<0.0001,***
妻子身体共病(t+1),w_phys_t,自回归(Actor),0.9587,0.0053,"(0.9483, 0.9690)",<0.0001,***
妻子身体共病(t+1),h_phys_t,交叉效应(Partner),0.0259,0.0056,"(0.0148, 0.0369)",<0.0001,***
丈夫CESD(t+1),h_cesd_t,自回归(Actor),0.5001,0.0121,"(0.4764, 0.5237)",<0.0001,***
丈夫CESD(t+1),w_cesd_t,交叉效应(Partner),0.0783,0.0088,"(0.0611, 0.0956)",<0.0001,***
妻子CESD(t+1),w_cesd_t,自回归(Actor),0.5596,0.0107,"(0.5386, 0.5807)",<0.0001,***
妻子CESD(t+1),h_cesd_t,交叉效应(Partner),0.0871,0.0108,"(0.0660, 0.1082)",<0.0001,***
丈夫多维共病(t+1),h_multi_t,自回归(Actor),0.6308,0.0095,"(0.6121, 0.6495)",<0.0001,***
丈夫多维共病(t+1),w_multi_t,交叉效应(Partner),0.0748,0.0083,"(0.0585, 0.0910)",<0.0001,***
妻子多维共病(t+1),w_multi_t,自回归(Actor),0.6690,0.0082,"(0.6528, 0.6851)",<0.0001,***
妻子多维共病(t+1),h_multi_t,交叉效应(Partner),0.0783,0.0089,"(0.0607, 0.0958)",<0.0001,***
