结局变量,效应类型,β,SE,CI_lower,CI_upper,P,显著性
CESD-10抑郁得分,Actor效应,0.9365656359003923,0.04275758992914566,0.8527607596392668,1.0203705121615179,2.3753373708426424e-106,***
CESD-10抑郁得分,Partner效应,0.15597852311588736,0.04021427704315625,0.07715854011130112,0.2347985061204736,0.00010502253544115208,***
CESD-10抑郁得分,性别效应,1.9943440505055698,0.07738630588017853,1.84266689098042,2.1460212100307197,1.8616637797685114e-146,***
ADL障碍数,Actor效应,0.10431585131830368,0.0056504660711003,0.09324093781894709,0.11539076481766027,4.217875495480486e-76,***
ADL障碍数,Partner效应,0.0026935078249270697,0.004528376048064532,-0.006182109229279414,0.011569124879133554,0.5519727753768242,
ADL障碍数,性别效应,0.05479074407136818,0.009998275170568971,0.035194124737052995,0.07438736340568336,4.2527868051044726e-08,***
自评健康(1好-5差),Actor效应,0.23952905826804508,0.006678593776947054,0.22643901446522885,0.2526191020708613,1.066117325033685e-281,***
自评健康(1好-5差),Partner效应,0.014372215289775616,0.007050423131979913,0.0005533859510949857,0.028191044628456244,0.04150097876565934,*
自评健康(1好-5差),性别效应,0.15494888986237218,0.013187499938173692,0.12910138998355175,0.1807963897411926,7.088769119159857e-32,***
TICS认知得分,Actor效应,-0.06092548933439523,0.02557306593853574,-0.11104869857392528,-0.010802280094865183,0.017199806383320363,*
TICS认知得分,Partner效应,-0.013415772231631663,0.025653849795124258,-0.0636973178300752,0.03686577336681188,0.6010065668584683,
TICS认知得分,性别效应,-0.48791550096532466,0.05120780767670149,-0.5882828040116596,-0.38754819791898976,1.6011613021410364e-21,***
CESD-10抑郁得分(含交互),Actor轨迹,0.5625840505211495,0.06343367306994974,0.438254051304048,0.686914049738251,7.390181131669958e-19,***
CESD-10抑郁得分(含交互),Partner轨迹,0.08839744082362022,0.06192358903835183,-0.03297279369154936,0.20976767533878982,0.15342876682006448,
CESD-10抑郁得分(含交互),Actor×Partner交互,0.10078843046457199,0.02824488691478037,0.045428452111602464,0.15614840881754152,0.0003591981666532015,***
CESD-10抑郁得分(含交互),性别,2.2224911813122628,0.07852746160453143,2.0685773565673813,2.376405006057144,3.2572827295823075e-176,***
ADL障碍数(含交互),Actor轨迹,0.04387474407868233,0.006115782170919579,0.031887811023679956,0.05586167713368471,7.282692353557864e-13,***
ADL障碍数(含交互),Partner轨迹,-0.010239615244201573,0.004660052524034139,-0.019373318191308483,-0.001105912297094662,0.02799777436273634,*
ADL障碍数(含交互),Actor×Partner交互,0.008630502898953016,0.002608028268992906,0.0035187674917269204,0.013742238306179112,0.0009356095715019408,***
ADL障碍数(含交互),性别,0.08488916370234534,0.010099105420706841,0.06509491707775993,0.10468341032693075,4.256354224653681e-17,***
