分层变量,分组,效应,β,SE,CI_lower,CI_upper,P,显著性
性别,男性,Actor,0.8373934291651706,0.058684390242442194,0.7223720242899838,0.9524148340403573,3.392885760725839e-46,***
性别,男性,Partner,0.20309097006492619,0.05097533779431054,0.10317930798807752,0.30300263214177486,6.773563733803834e-05,***
性别,女性,Actor,0.873743734689503,0.06108093975966383,0.7540250927605618,0.993462376618444,2.0455559349682804e-46,***
性别,女性,Partner,0.40594940329141876,0.062379090613034226,0.2836863856898717,0.5282124208929658,7.626946269879313e-11,***
户口,农村,Actor,0.9377324625547976,0.04966261843126737,0.8403937304295135,1.0350711946800817,1.6021849817711214e-79,***
户口,农村,Partner,0.30736548493650956,0.047144796123634244,0.21496168453418646,0.39976928533883266,7.049241609005936e-11,***
户口,城镇,Actor,0.932413900960387,0.08274348580108712,0.7702366687902562,1.0945911331305178,1.872538209361914e-29,***
户口,城镇,Partner,0.24624226922214842,0.07742537249658546,0.09448853912884092,0.39799599931545593,0.0014708097262507603,**
年龄组,45-60岁,Actor,1.0756618711917862,0.06369809269673976,0.9508136095061763,1.2005101328773962,5.6199905121739294e-64,***
年龄组,45-60岁,Partner,0.30140136624301606,0.05851878168445057,0.18670455414149295,0.41609817834453916,2.597839090040686e-07,***
年龄组,60-70岁,Actor,0.9974090871593133,0.06374406180036557,0.8724707260305968,1.1223474482880298,3.4776047642959764e-55,***
年龄组,60-70岁,Partner,0.33939587977915675,0.060673401653775744,0.22047601253775628,0.4583157470205572,2.2213163052130958e-08,***
年龄组,70岁+,Actor,0.9022335107626472,0.09737709532016475,0.7113744039351243,1.09309261759017,1.944265836764301e-20,***
年龄组,70岁+,Partner,0.18872730280366212,0.09535110863925984,0.00183912987071283,0.3756154757366114,0.04778359261987549,*
