分析,模型,β,SE,P,显著
SA1-排除2018,丈夫身体(SA1),0.019501473805486298,0.004641074441804641,2.6464799920134772e-05,***
SA1-排除2018,妻子身体(SA1),0.022545538878208538,0.005412050364639602,3.102577266402412e-05,***
SA1-排除2018,丈夫CESD(SA1),0.06620004167629448,0.009784180932354853,1.3236598274295408e-11,***
SA1-排除2018,妻子CESD(SA1),0.06464111317749227,0.012188574232348034,1.1365379898129357e-07,***
SA2-阈值3,丈夫(SA2-阈值3),0.03340500221034743,0.007863617520104569,2.1564394840427168e-05,***
SA2-阈值3,妻子(SA2-阈值3),0.04300667554923029,0.009371481584008582,4.451590060481083e-06,***
SA3-Independent,丈夫身体(SA3),0.026590354468314828,0.005168325514264207,2.677084525909075e-07,***
SA3-Independent,妻子身体(SA3),0.03061072899907967,0.005824601065117121,1.476864806795841e-07,***
SA3-Independent,丈夫CESD(SA3),0.08246351807374139,0.008957788347422505,3.3916717072486965e-20,***
SA3-Independent,妻子CESD(SA3),0.09433227979126012,0.011117338562511795,2.1544155718516716e-17,***
SA4-至少2轮,丈夫身体(SA4),0.021218579643575975,0.004528500388451988,2.7918966082036478e-06,***
SA4-至少2轮,妻子身体(SA4),0.023723111638347772,0.004989820931601595,1.9913397729901207e-06,***
SA4-至少2轮,丈夫CESD(SA4),0.08228955160372363,0.008038697631218318,1.3582130880176138e-24,***
SA4-至少2轮,妻子CESD(SA4),0.07720296428273045,0.009774746440241995,2.829454806216518e-15,***
